지역명,규모구분,연도,월,분양가격(제곱미터)
경북,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2191.0
경북,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2532.0
경북,전용면적 102제곱미터초과,2016.0,2.0,2346.0
경남,모든면적,2016.0,2.0,2358.0
경남,전용면적 60제곱미터이하,2016.0,2.0,2361.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2375.0
경남,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2925.0
경남,전용면적 102제곱미터초과,2016.0,2.0,2673.0
제주,모든면적,2016.0,2.0,2268.0
제주,전용면적 60제곱미터이하,2016.0,2.0,
제주,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,2260.0
제주,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,2583.0
